nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm,preu_cost_before
Arròs integral nigerià amb verdures,informal,tebi,alta,mitjana,segon,farinaci_principal,Nigèria,10.49,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs integral', 'sal', 'cub de brou', 'all', 'cranc sec', 'oli', 'ceba', 'pastanaga', 'pebre']","['arròs integral', 'sal', 'cub de brou', 'all', 'cranc sec', 'oli', 'ceba', 'pastanaga', 'pebre']",6.0
Zereshk Polo amb pollastre (arròs iranià),formal,tebi,alta,mitjana,segon,aus,Irà,13.35,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'sucre', 'arròs', 'pollastre', 'safrà']","['oli', 'ceba', 'sucre', 'arròs', 'pollastre', 'safrà']",6.5
Risotto de bolets salvatges,formal,tebi,alta,mitjana,segon,farinaci_principal,Itàlia,19.31,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'oli', 'ceba', 'arròs', 'vi', 'formatge', 'bolets', 'oli de tòfona', 'sal', 'pebre']","['brou', 'oli', 'ceba', 'arròs', 'vi', 'formatge', 'bolets', 'oli de tòfona', 'sal', 'pebre']",7.2
Paella valenciana amb sípia,informal,tebi,alta,mitjana,segon,marisc,Espanya,17.8,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sípia', 'pebrot', 'all', 'arròs', 'tinta', 'espècies', 'oli']","['sípia', 'pebrot', 'all', 'arròs', 'tinta', 'espècies', 'oli']",9.0
Arròs nigerià amb estofat,informal,tebi,alta,gran,segon,guisat,Nigèria,9.82,['totes'],['estiu'],"['arròs', 'sal', 'pebrot', 'tomàquet', 'xili', 'oli', 'ceba', 'aigua', 'cub de brou', 'carn o peix']","['arròs', 'sal', 'pebrot', 'tomàquet', 'xili', 'oli', 'ceba', 'aigua', 'cub de brou', 'carn o peix']",6.5
Arròs persa amb salsa de festucs,formal,tebi,alta,gran,segon,vegetal_proteic,Irà,12.89,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'aigua', 'sal', 'panses', 'verdures', 'festucs', 'llet de soja', 'pebre']","['arròs', 'aigua', 'sal', 'panses', 'verdures', 'festucs', 'llet de soja', 'pebre']",9.0
Arròs vegetal amb coco,informal,tebi,mitjana,mitjana,segon,farinaci_principal,Àfrica Occidental,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'all', 'ceba', 'gingebre', 'arròs', 'pebre', 'sal', 'llet de coco', 'pastanaga', 'ceba tendra']","['oli', 'all', 'ceba', 'gingebre', 'arròs', 'pebre', 'sal', 'llet de coco', 'pastanaga', 'ceba tendra']",5.0
Bacallà cruixent amb crosta de coco,formal,calent,mitjana,gran,segon,peix,Carib,13.29,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llet de coco', 'salsa de soja', 'oli de sèsam', 'pebre vermell', 'gingebre', 'pebre', 'bacallà', 'menta', 'coco']","['llet de coco', 'salsa de soja', 'oli de sèsam', 'pebre vermell', 'gingebre', 'pebre', 'bacallà', 'menta', 'coco']",7.2
Bacon fumat a la fusta de pomer,informal,tebi,mitjana,mitjana,segon,carn,Europa Occidental,11.34,['totes'],"['hivern', 'tardor']","['porc', 'sal', 'sucre', 'vinagre', 'fusta']","['porc', 'sal', 'sucre', 'vinagre', 'fusta']",7.0
Bolets farcits amb bacó i formatge,informal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,14.25,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['formatge', 'soja', 'sal', 'pebre', 'ceba', 'pebrot', 'bolets', 'pa ratllat', 'mantega', 'bacó']","['formatge', 'soja', 'sal', 'pebre', 'ceba', 'pebrot', 'bolets', 'pa ratllat', 'mantega', 'bacó']",7.0
Bolets farcits de cranc,formal,calent,mitjana,mitjana,segon,marisc,Estats Units,11.11,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'sopa de verdures', 'cranc', 'nata', 'pa ratllat', 'julivert', 'sal', 'pebre', 'oli']","['bolets', 'sopa de verdures', 'cranc', 'nata', 'pa ratllat', 'julivert', 'sal', 'pebre', 'oli']",6.0
Bolets farcits vegetals al forn,formal,tebi,alta,mitjana,segon,forn_brasa,Mediterrània,13.87,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['vinagre', 'all', 'ceba', 'xampinyó', 'oli', 'albergínia', 'espinacs', 'formatge', 'tomàquet', 'carxofa', 'parmesà']","['vinagre', 'all', 'ceba', 'xampinyó', 'oli', 'albergínia', 'espinacs', 'formatge', 'tomàquet', 'carxofa', 'parmesà']",5.8
Bruschetta de marisc,formal,tebi,mitjana,mitjana,segon,marisc,Itàlia,12.52,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gamba', 'cranc', 'mandonguilles de peix', 'julivert', 'sucre', 'sal', 'pebre', 'pa']","['gamba', 'cranc', 'mandonguilles de peix', 'julivert', 'sucre', 'sal', 'pebre', 'pa']",6.0
Lluç arrebossat amb panko i llimona,formal,tebi,mitjana,petita,segon,peix,Mediterrània,11.52,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pa ratllat', 'herbes', 'pinyons', 'oli', 'sal', 'pebre', 'lluç', 'ou', 'llimona']","['pa ratllat', 'herbes', 'pinyons', 'oli', 'sal', 'pebre', 'lluç', 'ou', 'llimona']",7.0
Bròquil rabe amb all i oli,formal,tebi,mitjana,mitjana,segon,vegetal_proteic,Itàlia,8.22,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['bròquil rabe', 'oli', 'all', 'pebre vermell', 'pebre negre', 'sal']","['bròquil rabe', 'oli', 'all', 'pebre vermell', 'pebre negre', 'sal']",5.0
Calamar farcit vietnamita,formal,tebi,mitjana,mitjana,segon,marisc,Vietnam,12.76,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['calamar', 'ceba tendra', 'bolets negres', 'salsa de peix', 'pastanaga', 'brots de bambú', 'brou', 'carn', 'all', 'mel', 'sal']","['calamar', 'ceba tendra', 'bolets negres', 'salsa de peix', 'pastanaga', 'brots de bambú', 'brou', 'carn', 'all', 'mel', 'sal']",7.0
Calamars cruixents amb llimona i all,informal,tebi,alta,mitjana,segon,marisc,Mediterrània,12.24,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['calamar', 'ou', 'llimona', 'farina', 'blat de moro', 'sal', 'pebre', 'oli', 'julivert', 'all']","['calamar', 'ou', 'llimona', 'farina', 'blat de moro', 'sal', 'pebre', 'oli', 'julivert', 'all']",6.0
Calzones d'espinacs i formatges,formal,tebi,mitjana,mitjana,segon,forn_brasa,Itàlia,11.12,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ricotta', 'ou', 'espècies', 'mozzarella', 'parmesà', 'espinacs', 'sal', 'pebre', 'massa']","['ricotta', 'ou', 'espècies', 'mozzarella', 'parmesà', 'espinacs', 'sal', 'pebre', 'massa']",6.0
Carabassa kabocha farcida d'arròs i tempeh,formal,tebi,alta,mitjana,segon,vegetal_proteic,Àsia Oriental,10.68,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli de cacauet', 'ceba tendra', 'gingebre', 'xili', 'tempeh', 'soia', 'arròs', 'carabassa']","['oli de cacauet', 'ceba tendra', 'gingebre', 'xili', 'tempeh', 'soia', 'arròs', 'carabassa']",6.5
Carbassa d'aglà caramel·litzada amb aranja,formal,calent,mitjana,mitjana,segon,forn_brasa,Amèrica del Nord,13.9,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'melmelada', 'mantega', 'sal']","['carbassa', 'melmelada', 'mantega', 'sal']",7.0
Carbassa farcida mediterrània amb fruits secs,formal,tebi,alta,mitjana,segon,vegetal_proteic,Mediterrània,12.13,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'oli', 'arròs', ""oli d'ametlla"", 'fruits secs', 'pebre', 'sal', 'ceba', 'pebrot', 'aigua', 'all', 'formatge']","['carbassa', 'oli', 'arròs', ""oli d'ametlla"", 'fruits secs', 'pebre', 'sal', 'ceba', 'pebrot', 'aigua', 'all', 'formatge']",6.5
Carbassons farcits d'espinacs i bolets,informal,calent,mitjana,mitjana,segon,vegetal_proteic,Internacional,7.09,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['zucchini', 'oli', 'espinacs', 'ceba', 'bolets', 'ou', 'pebre', 'sal', 'paprika', 'all']","['zucchini', 'oli', 'espinacs', 'ceba', 'bolets', 'ou', 'pebre', 'sal', 'paprika', 'all']",5.5
Carbassó farcit d'arròs i cheddar,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Mediterrània,7.86,['totes'],['estiu'],"['carbassó', 'ceba', 'all', 'oli', 'pebrot', 'tomàquet', 'herbes', 'arròs', 'mostassa', 'formatge cheddar']","['carbassó', 'ceba', 'all', 'oli', 'pebrot', 'tomàquet', 'herbes', 'arròs', 'mostassa', 'formatge cheddar']",5.5
Carbassó farcit amb pa de blat de moro i formatges,formal,calent,alta,gran,segon,forn_brasa,Estats Units,12.16,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassó', 'pa de blat de moro', 'sal', 'pebre', 'formatge crema', 'ou', 'formatge ratllat', 'nata']","['carbassó', 'pa de blat de moro', 'sal', 'pebre', 'formatge crema', 'ou', 'formatge ratllat', 'nata']",6.5
Xai especiat a la brasa,informal,calent,mitjana,mitjana,segon,forn_brasa,Nigèria,11.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xai', 'pebre', 'caiena', 'nou moscada', 'all', 'brou', 'sal', 'oli', 'ceba']","['xai', 'pebre', 'caiena', 'nou moscada', 'all', 'brou', 'sal', 'oli', 'ceba']",7.0
Carn marinada a la sharmoula,informal,tebi,mitjana,mitjana,segon,forn_brasa,Líbia,10.37,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['all', 'oli', 'llimona', 'comí', 'paprika', 'coriandre', 'pebre vermell', 'sal', 'pebre negre', 'carn', 'julivert']","['all', 'oli', 'llimona', 'comí', 'paprika', 'coriandre', 'pebre vermell', 'sal', 'pebre negre', 'carn', 'julivert']",6.0
Cassoleta de pasta gratinada,informal,calent,alta,mitjana,segon,farinaci_principal,Itàlia,15.53,['totes'],['estiu'],"['pasta', 'carn', 'salsitxa', 'ceba', 'pebrot', 'all', 'tomàquet', 'aigua', 'herbes', 'ou', 'formatge ricotta', 'formatge parmesà', 'pa ratllat']","['pasta', 'carn', 'salsitxa', 'ceba', 'pebrot', 'all', 'tomàquet', 'aigua', 'herbes', 'ou', 'formatge ricotta', 'formatge parmesà', 'pa ratllat']",9.0
Cassola de blat de moro amb pollastre,informal,tebi,alta,gran,segon,aus,Estats Units,10.16,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'pa de blat de moro', 'sal', 'pebre', 'all', 'ceba', 'formatge', 'mantega', 'pa ratllat']","['pollastre', 'pa de blat de moro', 'sal', 'pebre', 'all', 'ceba', 'formatge', 'mantega', 'pa ratllat']",6.0
Cassola de fideus amb tonyina,informal,calent,baixa,mitjana,segon,peix,Estats Units,6.68,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'llet', 'fideus', 'pèsols', 'crema']","['tonyina', 'llet', 'fideus', 'pèsols', 'crema']",4.5
Cassola vegana de mongeta verda i bolets,informal,tebi,alta,mitjana,segon,vegetal_proteic,Internacional,7.49,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llevat nutricional', 'pèls secs', 'ceba', 'oli de coco', 'sal', 'pebres', 'aigua', 'bolets', 'pastanaga']","['llevat nutricional', 'pèls secs', 'ceba', 'oli de coco', 'sal', 'pebres', 'aigua', 'bolets', 'pastanaga']",5.0
Cassola de peix agredolç mediterrani,formal,tebi,alta,mitjana,segon,peix,Mediterrània,11.87,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'tomàquet concentrat', 'sucre', 'cúrcuma', 'oli', 'ceba', 'pebrot', 'all', 'peix', 'sal', 'pebre', 'herbes']","['llimona', 'tomàquet concentrat', 'sucre', 'cúrcuma', 'oli', 'ceba', 'pebrot', 'all', 'peix', 'sal', 'pebre', 'herbes']",6.0
Cassola del pescador amb salmó i macarrons,informal,calent,mitjana,gran,segon,marisc,Regne Unit,10.77,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['macarrons', 'formatge', 'llet', 'mostassa', 'ceba', 'nata', 'sal', 'salmó', 'pèsols', 'pa ratllat', 'mantega']","['macarrons', 'formatge', 'llet', 'mostassa', 'ceba', 'nata', 'sal', 'salmó', 'pèsols', 'pa ratllat', 'mantega']",6.0
Cassola de pollastre i bròquil cremosa,informal,tebi,mitjana,mitjana,segon,aus,Estats Units,9.02,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'bròquil', 'nata', 'maionesa', 'llet', 'curri']","['pollastre', 'bròquil', 'nata', 'maionesa', 'llet', 'curri']",6.0
Cassola de pollastre picant amb cheddar,informal,calent,mitjana,mitjana,segon,aus,Mèxic,10.93,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xili', 'nata', 'pollastre', 'salsa', 'tortilla de blat de moro', 'formatge cheddar']","['xili', 'nata', 'pollastre', 'salsa', 'tortilla de blat de moro', 'formatge cheddar']",6.0
Cassola de salsitxes italianes dolces amb pasta,informal,tebi,mitjana,mitjana,segon,forn_brasa,Itàlia,9.22,['totes'],['estiu'],"['pasta', 'salchicha', 'tomàquet', 'mongetes', 'oli', 'oli', 'tomàquet', 'brou', 'formatge']","['pasta', 'salchicha', 'tomàquet', 'mongetes', 'oli', 'oli', 'tomàquet', 'brou', 'formatge']",5.5
Cassola de sis capes de pagès,informal,tebi,mitjana,mitjana,segon,guisat,Internacional,10.0,['totes'],['estiu'],"['patata', 'pastanaga', 'ceba', 'arròs', 'carn', 'tomàquet', 'brou']","['patata', 'pastanaga', 'ceba', 'arròs', 'carn', 'tomàquet', 'brou']",6.0
Cassola de tacos gratinada,informal,calent,mitjana,mitjana,segon,carn,Mèxic,11.52,['totes'],['estiu'],"['carn', 'espècies', 'xili', 'all', 'tomaquet', 'tortilla', 'formatge']","['carn', 'espècies', 'xili', 'all', 'tomaquet', 'tortilla', 'formatge']",5.5
Cassola de tonyina cremosa,informal,tebi,baixa,mitjana,segon,peix,Estats Units,8.67,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'macarrons', 'llet', 'pèsols', 'crema', 'pa ratllat', 'mantega', 'ceba']","['tonyina', 'macarrons', 'llet', 'pèsols', 'crema', 'pa ratllat', 'mantega', 'ceba']",4.5
Cassola d'albergínia i cigrons amb tomàquet,informal,tebi,alta,gran,segon,vegetal_proteic,Mediterrània,9.19,['totes'],['estiu'],"['oli', 'pebrot', 'all', 'albergínia', 'xampinyons', 'tomàquet', 'cigrons', 'herbes']","['oli', 'pebrot', 'all', 'albergínia', 'xampinyons', 'tomàquet', 'cigrons', 'herbes']",6.0
Cassola d'arròs amb tonyina i pèsols,informal,tebi,baixa,mitjana,segon,peix,Internacional,6.96,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'pèsols', 'arròs', 'aigua', 'crema de cheddar']","['tonyina', 'pèsols', 'arròs', 'aigua', 'crema de cheddar']",4.5
Arròs integral al forn amb bolets i ametlles,informal,tebi,baixa,gran,segon,farinaci_principal,Internacional,7.41,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['formatge', 'bolets', 'pèsols', 'arròs integral', 'oli', 'ametlles']","['formatge', 'bolets', 'pèsols', 'arròs integral', 'oli', 'ametlles']",5.0
Truita al forn amb pernil i formatge,informal,tebi,baixa,mitjana,segon,aus,Espanya,7.79,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'pernil', 'formatge', 'sal']","['ou', 'pernil', 'formatge', 'sal']",5.5
Cassoulet de mongetes i carns,formal,tebi,alta,gran,segon,guisat,França,13.87,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes blanques', 'comí', 'porc', 'ànec o oca', 'oli', 'ceba', 'vi blanc', 'bouquet garni', 'sal', 'pebre', 'claus', 'ginebró']","['mongetes blanques', 'comí', 'porc', 'ànec o oca', 'oli', 'ceba', 'vi blanc', 'bouquet garni', 'sal', 'pebre', 'claus', 'ginebró']",7.5
Pollastre rostit clàssic,informal,calent,alta,mitjana,segon,aus,Regne Unit,12.57,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'oli o mantega', 'sal', 'pebre']","['pollastre', 'oli o mantega', 'sal', 'pebre']",7.0
Coliflor gratinada amb formatge,formal,fred,mitjana,mitjana,segon,forn_brasa,Regne Unit,10.08,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['coliflor', 'salsa blanca', 'formatge', 'mantega', 'pa ratllat', 'sal', 'pebre']","['coliflor', 'salsa blanca', 'formatge', 'mantega', 'pa ratllat', 'sal', 'pebre']",6.0
Cols bullides amb pernil fumat,informal,tebi,alta,mitjana,segon,guisat,Europa Central,9.55,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['col', 'greix de porc', 'sal', 'sucre', 'carn fumat', 'pebre', 'vinagre', 'ceba']","['col', 'greix de porc', 'sal', 'sucre', 'carn fumat', 'pebre', 'vinagre', 'ceba']",5.0
Cols saltejades amb espècies suaus,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Etiòpia,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'gingebre', 'cúrcuma', 'paprika', 'comí', 'col', 'llimona']","['oli', 'ceba', 'gingebre', 'cúrcuma', 'paprika', 'comí', 'col', 'llimona']",4.5
Cols guisades casolanes,informal,tebi,mitjana,mitjana,segon,guisat,Europa de l'Est,7.87,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cansalada', 'clau', 'sal', 'aigua', 'col']","['cansalada', 'clau', 'sal', 'aigua', 'col']",5.0
Conill a l'abadia amb cervesa,formal,fred,mitjana,mitjana,segon,guisat,Bèlgica,17.53,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['conill', 'ceba', 'pastanaga', 'cervesa', 'mostassa']","['conill', 'ceba', 'pastanaga', 'cervesa', 'mostassa']",9.0
Conill rostit a la llimona i all,formal,calent,mitjana,mitjana,segon,forn_brasa,Mediterrània,15.44,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['conill', 'mantega', 'all', 'llimona']","['conill', 'mantega', 'all', 'llimona']",9.0
Corn dogs cruixents,informal,calent,mitjana,gran,segon,farinaci_principal,Estats Units,7.92,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat de moro', 'farina', 'sal', 'llet', 'ou', 'oli', 'salsitxes']","['farina de blat de moro', 'farina', 'sal', 'llet', 'ou', 'oli', 'salsitxes']",5.0
Coronation Chicken cremós,formal,tebi,alta,mitjana,segon,aus,Regne Unit,11.04,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'oli', 'ceba', 'curri', 'tomàquet', 'vi', 'llimona', 'albercoc', 'maionesa', 'nata', 'sal', 'pebre', 'berros']","['pollastre', 'oli', 'ceba', 'curri', 'tomàquet', 'vi', 'llimona', 'albercoc', 'maionesa', 'nata', 'sal', 'pebre', 'berros']",6.0
Costella principal al grill,formal,calent,mitjana,mitjana,segon,forn_brasa,Estats Units,20.49,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'espècies', 'oli']","['vedella', 'espècies', 'oli']",10.5
Costelles al forn amb salsa barbacoa,informal,fred,alta,gran,segon,forn_brasa,Estats Units,10.6,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['costelles', 'rub', 'olors de fusta', 'salsa barbacoa']","['costelles', 'rub', 'olors de fusta', 'salsa barbacoa']",6.5
Costelles amb glacejat de poma picant,informal,tebi,mitjana,mitjana,segon,forn_brasa,Estats Units,10.17,['totes'],"['hivern', 'tardor']","['costelles de porc', 'espècies', 'suc de poma', 'vinagre de sidra', 'worcestershire', 'mel', 'salsa de soia']","['costelles de porc', 'espècies', 'suc de poma', 'vinagre de sidra', 'worcestershire', 'mel', 'salsa de soia']",6.0
Costelles amb préssec i gingebre,formal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,11.2,['totes'],"['hivern', 'tardor']","['porc', 'espècies', 'gingebre', 'préssec', 'soja', 'vinagre']","['porc', 'espècies', 'gingebre', 'préssec', 'soja', 'vinagre']",6.0
Costelles coreanes a la graella,informal,tebi,alta,mitjana,segon,forn_brasa,Corea del Sud,11.51,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['soia', 'ceba tendra', 'all', 'sèsam', 'gingebre', 'oli', 'xili', 'vedella']","['soia', 'ceba tendra', 'all', 'sèsam', 'gingebre', 'oli', 'xili', 'vedella']",6.0
Costelles de porc a la caçadora,informal,tebi,alta,mitjana,segon,guisat,Itàlia,15.89,['totes'],['estiu'],"['polenta', 'costelles', 'tomàquet', 'pastanaga', 'ceba', 'oli', 'mantega', 'all']","['polenta', 'costelles', 'tomàquet', 'pastanaga', 'ceba', 'oli', 'mantega', 'all']",8.0
Costelles de porc al grill amb herbes,informal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,11.81,['totes'],"['hivern', 'tardor']","['porc', 'sal', 'melassa', 'vinagre', 'herbes', 'all', 'espècies', 'oli']","['porc', 'sal', 'melassa', 'vinagre', 'herbes', 'all', 'espècies', 'oli']",6.5
Costelles de porc al forn amb poma,informal,tebi,mitjana,mitjana,segon,forn_brasa,Europa Occidental,11.16,['totes'],"['hivern', 'tardor']","['costelles de porc', 'poma', 'ceba', 'mel', 'comí', 'all', 'pebre', 'mostassa']","['costelles de porc', 'poma', 'ceba', 'mel', 'comí', 'all', 'pebre', 'mostassa']",8.0
Costelles de porc amb bolets i all,formal,tebi,alta,mitjana,segon,guisat,Àsia Oriental,12.9,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'bolets', 'vinagre', 'soja', 'mel', 'pebre', 'oli', 'all', 'gingebre', 'porc']","['brou', 'bolets', 'vinagre', 'soja', 'mel', 'pebre', 'oli', 'all', 'gingebre', 'porc']",6.0
Costelles de porc amb glacejat de melassa,informal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,12.76,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'sal', 'pebre', 'herbes', 'gingebre', 'melassa', 'all', 'vinagre', 'llimona']","['porc', 'sal', 'pebre', 'herbes', 'gingebre', 'melassa', 'all', 'vinagre', 'llimona']",7.0
Costelles de porc farcides de poma,informal,tebi,alta,mitjana,segon,forn_brasa,Europa Occidental,13.55,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'llimona', 'mel', 'sal', 'poma', 'espècies']","['porc', 'llimona', 'mel', 'sal', 'poma', 'espècies']",8.0
Costelles de porc marcades a la paella,informal,calent,mitjana,mitjana,segon,forn_brasa,Internacional,17.38,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['costelles de porc', 'espècies', 'vinagre', 'oli']","['costelles de porc', 'espècies', 'vinagre', 'oli']",10.5
Costelles de vedella guisades al vi,formal,tebi,alta,gran,segon,guisat,França,19.53,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['costelles de vedella', 'oli', 'ceba', 'api', 'pastanaga', 'all', 'farina', 'tomaquet concentrat', 'vi', 'brou', 'herbes', 'sal', 'pebre']","['costelles de vedella', 'oli', 'ceba', 'api', 'pastanaga', 'all', 'farina', 'tomaquet concentrat', 'vi', 'brou', 'herbes', 'sal', 'pebre']",8.0
Costelles de xai amb mostassa i mel,informal,calent,alta,gran,segon,forn_brasa,Àsia Oriental,11.41,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salsa de soja', 'oli', 'oli de sèsam', 'romaní', 'mostassa', 'mel', 'xai']","['salsa de soja', 'oli', 'oli de sèsam', 'romaní', 'mostassa', 'mel', 'xai']",6.5
Costelles estofades a la cassola,informal,tebi,alta,gran,segon,guisat,Europa Occidental,11.94,['totes'],['estiu'],"['costelles', 'sal', 'pebre', 'grassa de bacó', 'brou', 'vi', 'tomàquet concentrat', 'romaní', 'farigola', 'ceba', 'all', 'pastanaga', 'patata', 'oli', 'farina']","['costelles', 'sal', 'pebre', 'grassa de bacó', 'brou', 'vi', 'tomàquet concentrat', 'romaní', 'farigola', 'ceba', 'all', 'pastanaga', 'patata', 'oli', 'farina']",8.0
Costelles estofades amb vi i herbes,informal,tebi,mitjana,mitjana,segon,guisat,Europa Occidental,8.69,['totes'],['estiu'],"['costelles', 'sal', 'pebre', 'worcestershire', 'vi', 'tomàquet concentrat', 'ceba', 'paprika', 'patata', 'oli', 'brou', 'romaní']","['costelles', 'sal', 'pebre', 'worcestershire', 'vi', 'tomàquet concentrat', 'ceba', 'paprika', 'patata', 'oli', 'brou', 'romaní']",6.0
Costelles mexicanes amb chili i tequila,informal,tebi,alta,gran,segon,forn_brasa,Mèxic,16.56,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'sucre morè', 'habanero', 'ancho', 'orenga', 'sal', 'pebre', 'chili', 'melassa', 'tequila']","['porc', 'sucre morè', 'habanero', 'ancho', 'orenga', 'sal', 'pebre', 'chili', 'melassa', 'tequila']",9.0
Costelles prime rib a la barbacoa,informal,calent,alta,gran,segon,forn_brasa,Estats Units,24.82,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'espècies', 'oli', 'fusta de mesquite']","['vedella', 'espècies', 'oli', 'fusta de mesquite']",12.0
Costelles teriyaki amb mel,formal,tebi,alta,gran,segon,forn_brasa,Japó,14.27,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'salsa', 'mirin', 'mel', 'vinagre', 'melmelada']","['porc', 'salsa', 'mirin', 'mel', 'vinagre', 'melmelada']",7.0
Croque Monsieur clàssic gratinat,formal,tebi,mitjana,mitjana,segon,forn_brasa,França,10.35,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'farina', 'llet', 'mostassa', 'sal', 'pebre', 'pa', 'ou']","['mantega', 'farina', 'llet', 'mostassa', 'sal', 'pebre', 'pa', 'ou']",6.5
Croquetes de carn casolanes,informal,calent,mitjana,petita,segon,carn,Portugal,10.96,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'pa ratllat', 'ou', 'farina', 'herbes']","['vedella', 'pa ratllat', 'ou', 'farina', 'herbes']",5.5
Croquetes de patata especiades,informal,calent,mitjana,mitjana,segon,farinaci_principal,Nigèria,7.53,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'sal', 'oli', 'ceba', 'all', 'gingebre', 'xili', 'canyella']","['patata', 'sal', 'oli', 'ceba', 'all', 'gingebre', 'xili', 'canyella']",4.8
Croquetes de vedella meloses,formal,tebi,alta,petita,segon,carn,Espanya,16.28,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'brou', 'ceba', 'farina', 'ou', 'pa ratllat', 'oli']","['vedella', 'brou', 'ceba', 'farina', 'ou', 'pa ratllat', 'oli']",6.8
