nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients
Bubble and Squeak anglès,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'grassa', 'verdures cuinades']"
Bubble Tea,petita,baixa,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['boba', 'gel', 'te negre', 'llet', 'sucre']"
Boles d’arròs dolces amb coco (Bubur Candil),mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina glutinosa', 'farina de tapioca', 'aigua', 'sal', 'llet de coco', 'gula jawa', 'pandan']"
Arròs negre dolç amb llet de coco (Bubur Ketan Hitam),mitjana,mitjana,fred,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs negre glutinós', 'aigua', 'pandan', 'sucre morè', 'sal', 'llet de coco']"
Brioixos austríacs dolços (Buchteln),gran,mitjana,tebi,postres,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'llevat', 'sucre', 'farina', 'ou', 'sal', 'pepin']"
Buckeyes (bombons de mantega de cacauet i xocolata),petita,baixa,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega de cacauet', 'mantega', 'vainilla', 'sucre llustre', 'xips de xocolata']"
Entrepà de pollastre buffalo,mitjana,mitjana,tebi,segon,informal,6.0,['totes'],['estiu'],"['oli', 'farina', 'sal', 'llet', 'pollastre', 'bated', 'pa', 'lletuga', 'tomàquet', 'ceba', 'salsa picant', 'maionesa de formatge']"
Ales de pollastre buffalo,mitjana,mitjana,tebi,segon,informal,6.0,['totes'],['estiu'],"['ales de pollastre', 'oli', 'espècies', 'mantega', 'salsa picant', 'tomàquet concentrat', 'soia', 'pebre']"
Estofat Buka amb carns variades,gran,mitjana,tebi,segon,informal,6.5,['totes'],['estiu'],"['oli de palma', 'ceba', 'tomàquet', 'pebre', 'néré', 'brou', 'carn', 'peix sec']"
Salsitxes fresques búlgares (Kebapcheta),mitjana,mitjana,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn picada', 'sal', 'comí', 'pebre negre', 'aigua']"
Sopa búlgara de mandonguilles (Supa Topcheta),mitjana,alta,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella picada', 'arròs', 'paprika', 'herbes seques', 'sal', 'pebre', 'aigua', 'brou de vedella', 'ceba tendra', 'pebrot verd', 'pastanaga', 'tomàquet', 'julivert', 'ou', 'llimona']"
Bulgogi coreà,gran,alta,tebi,segon,informal,7.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'ceba tendra', 'xampinyons', 'ceba', 'salsa de soja', 'sucre', 'oli de sèsam', 'pebre', 'all', 'mirin']"
Pa de bulgur,mitjana,alta,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bulgur', 'aigua', 'llevat', 'sucre', 'melassa', 'margarina', 'oli', 'farina', 'sal']"
Hamburgueses de bulgur,gran,alta,calent,segon,informal,6.0,['totes'],['estiu'],"['aigua', 'all', 'bulgur', 'oli', 'ceba tendra', 'pastanaga', 'julivert', 'tahina', 'tomàquet concentrat', 'salsa de soja', 'mostassa', 'pebre negre']"
Souflé de fruits del bosc,mitjana,mitjana,calent,postres,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'gerds', 'móres', 'ous', 'nata', 'vainilla', 'sucre']"
Bunny Chow sud-africà (pa farcit amb amanida),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['curri', 'carn', 'amanida', 'encurtits', 'all', 'ceba', 'tomàquet', 'oli', 'paprika', 'cayenna', 'patata', 'cilantre']"
Burgoo (estofat americà amb carn i verdures),mitjana,mitjana,calent,segon,informal,6.5,['totes'],['estiu'],"['carn', 'brou de pollastre', 'brou de vedella', 'salsa Worcestershire', 'tomàquet', 'ceba', 'api', 'pebrot verd', 'patata', 'pastanaga', 'pèsols', 'okra', 'mongeta', 'blat de moro', 'all', 'sal', 'pebre']"
Curri de porc birmà,mitjana,mitjana,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xili', 'gingebre', 'llimona', 'galanga', 'pasta de gamba', 'sucre morè', 'porc', 'aigua', 'cúrcuma', 'salsa de soja', 'mongeta', 'tamarinde', 'all', 'ceba', 'salsa de peix']"
Burple Nurples (postres calentes de xocolata),petita,baixa,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'mantega', 'sucre', 'coriandre', 'farina']"
Burrito mexicà,gran,mitjana,tebi,segon,formal,6.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['tortilla', 'mongetes', 'arròs']"
Barreja per a burritos,mitjana,mitjana,tebi,segon,informal,5.5,['totes'],['estiu'],"['carn', 'ceba', 'mongetes negres', 'blat de moro', 'tomàquet', 'salsa', 'arròs', 'aigua', 'espècies']"
Tartaleta de mantega,mitjana,mitjana,tebi,postres,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['greix vegetal', 'mantega', 'aigua', 'farina', 'llevat químic', 'sal', 'ou', 'sucre morè', 'xarop de blat de moro', 'nous de Califòrnia', 'vinagre', 'vainilla']"
Tè amb mantega tibetà,petita,mitjana,calent,begudes,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['te negre', 'llet', 'mantega', 'sal']"
Cervesa de mantega,petita,baixa,fred,postres,informal,3.5,['totes'],"['hivern', 'tardor']","['gelat de vainilla', 'mantega', 'sucre morè', 'canyella', 'nou moscada', 'suc de poma']"
Galetes de llet de mantega,mitjana,mitjana,tebi,postres,formal,4.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'llevat', 'sal', 'sucre', 'greix vegetal', 'llet agra', 'mantega']"
Sopa índia de iogurt (Kadi Pakora),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de cigró', 'aigua', 'sal', 'cúrcuma', 'oli vegetal', 'iogurt', 'mostassa', 'all', 'gingebre', 'ceba']"
Pollastre fregit amb llet agre i salsa,gran,alta,tebi,segon,informal,7.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'llet agra', 'mostassa', 'cayenna', 'pebre negre', 'canyella', 'oregà', 'julivert', 'paprika', 'farina', 'oli', 'ceba', 'all', 'brou', 'sal', 'pebre']"
Amaniment ranch amb llet agre,petita,baixa,fred,primer,informal,3.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'llet agra', 'maionesa', 'nata agra', 'all', 'oregà', 'ceba en pols', 'pebre negre']"
Crema de carbassa violí,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'ceba', 'oli', 'all', 'brou', 'xerès', 'nou moscada']"
Salsa butterscotch,petita,mitjana,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sucre morè', 'mantega', 'vainilla', 'melassa', 'nata']"
Fideus amb mantega i formatge,mitjana,baixa,tebi,segon,informal,5.5,['totes'],['estiu'],"['fideus', 'brou vegetal', 'mantega', 'formatge', 'all', 'herbes', 'proteïna vegetal', 'tomàquet']"
Buuz mongols (dumplings de carn al vapor),mitjana,alta,tebi,segon,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'aigua', 'ceba', 'vedella picada', 'sal', 'pebre', 'aigua']"
Buñuelos dolços fregits,mitjana,alta,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'sucre', 'oli', 'farina', 'llevat químic', 'sal', 'canyella']"
Bánh mì vietnamita,gran,baixa,tebi,segon,informal,6.5,['totes'],['estiu'],"['pa', 'pastanaga', 'rave', 'sal', 'aigua', 'vinagre', 'sucre', 'cilantre', 'jalapeño', 'cogombre', 'carn', 'tofu', 'salsitxa', 'peix', 'enciams', 'maionesa', 'salsa barbacoa']"
Salsa beixamel louisiana,petita,mitjana,tebi,segon,formal,3.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'ceba', 'llaurer', 'mantega', 'farina', 'sal', 'pebre']"
Bête Noire (pastís de xocolata sense farina),mitjana,mitjana,fred,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'sucre', 'xocolata', 'mantega', 'ous']"
Arròs fregit amb col,mitjana,alta,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'all', 'pastanaga', 'oli', 'col', 'arròs', 'sal', 'comí']"
Fufu de col,mitjana,alta,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['col', 'xantana', 'aigua']"
Rotllets de col amb salsa de tomàquet,mitjana,alta,tebi,segon,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['col', 'ceba', 'sal', 'pebre', 'llet', 'vedella picada', 'arròs', 'ou', 'tomàquet', 'aigua', 'vinagre', 'sucre', 'midó']"
Rotllets de col amb iogurt,mitjana,alta,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella picada', 'porc picat', 'arròs', 'iogurt', 'julivert', 'menta', 'paprika', 'pebre', 'col', 'mantega', 'oli', 'sal']"
Amanida de col,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['col', 'oli', 'vinagre', 'sal']"
Bacallà escocès amb ou i patata (Cabbie Claw),mitjana,alta,tebi,segon,formal,7.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['bacallà', 'sal', 'julivert', 'rave picant', 'mantega', 'farina', 'llet', 'ou', 'nou moscada', 'pebre', 'patata', 'cayenna']"
Cachapa veneçolana (creps de blat de moro),mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'farina', 'ou', 'mantega', 'sucre', 'formatge']"
Cachupa capverdià (estofat de blat de moro),gran,alta,tebi,segon,formal,7.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'tardor']","['vedella', 'porc', 'vinagre', 'llaurer', 'paprika', 'sal', 'pebre', 'all', 'mongetes', 'oli', 'ceba', 'bouillon', 'tomàquet', 'aigua', 'blat de moro', 'faves', 'mandioca', 'col', 'xoriço']"
Amanida Cèsar,petita,baixa,fred,primer,formal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['enciam romà', 'oli', 'pebre', 'salsa Worcestershire', 'ou', 'pa torrat']"
Cafè amb llet,gran,baixa,calent,begudes,informal,2.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cafè', 'llet']"
Hamburguesa Cajun,mitjana,alta,tebi,segon,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['maionesa', 'espècies Cajun', 'carn picada', 'formatge', 'pa d’hamburguesa']"
Mongetes vermelles Cajun amb arròs,gran,alta,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes vermelles', 'pernil', 'api', 'ceba', 'pebrot', 'llaurer', 'espècies', 'salsa picant', 'arròs']"
Brownies esponjosos,mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'sucre', 'mantega', 'cacau', 'farina', 'sal', 'llevat químic', 'vainilla', 'nous']"
Sopa xinesa de fideus amb carbassa (Hulu Mian),mitjana,alta,calent,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'porc', 'salsa de soja', 'midó', 'sucre', 'all', 'brou', 'aigua', 'ou', 'fideus']"
Beguda de calamansi,petita,alta,fred,begudes,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['calamansi', 'aigua', 'sucre', 'gel']"
Sopa capverdiana de peix (Caldo de Peixe),mitjana,mitjana,calent,primer,informal,6.0,['totes'],['estiu'],"['patata', 'moniato', 'pebrot verd', 'pebrot vermell', 'ceba', 'tomàquet', 'peix', 'ceba tendra', 'julivert']"
Pollastre al curri californià,gran,alta,tebi,segon,informal,7.0,['totes'],['estiu'],"['oli', 'ceba', 'all', 'pollastre', 'patata', 'curri', 'chili', 'paprika', 'comí', 'all en pols', 'cardamom', 'cúrcuma', 'mostassa', 'canyella', 'llaurer', 'llet de coco', 'aigua', 'iogurt', 'tomàquet', 'mantega', 'sal', 'pebre']"
Callaloo (verdures caribenyes estofades),mitjana,alta,calent,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles de taro', 'carn salada', 'okra', 'cibulet', 'farigola', 'ceba', 'all', 'cranc', 'llet de coco', 'aigua', 'mantega']"
Calzone italià,mitjana,mitjana,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ricotta', 'mozzarella', 'farcit', 'orenga', 'massa de pizza']"
Moniatos mexicans amb mel (Camotes Enmielados),petita,baixa,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['moniato', 'piloncillo', 'canyella', 'aigua']"
Barqueta de plàtan a la brasa,mitjana,mitjana,calent,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['plàtan', 'malví', 'xocolata']"
Ales de pollastre a la barbacoa de camp,gran,alta,tebi,segon,informal,7.0,['totes'],['estiu'],"['pollastre', 'cayenna', 'sal', 'pebre', 'tomàquet', 'melassa', 'fum líquid', 'vinagre', 'vi blanc']"
S’mores de camp,petita,baixa,calent,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['galeta', 'malví', 'xocolata']"
Truita a la brasa de camp,mitjana,mitjana,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['truita', 'bacó', 'mantega', 'llimona', 'sal', 'pebre']"
Ametlles garapinyades,petita,alta,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ametlles', 'sucre', 'aigua', 'colorant alimentari']"
Albercocs confitats,petita,baixa,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['albercocs', 'aigua', 'nous']"
Moniatos confitats,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['moniato', 'poma', 'raïm sec', 'mel', 'suc de poma', 'mantega']"
Yams confitats,mitjana,mitjana,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['moniato', 'margarina', 'sucre morè', 'vainilla', 'aigua']"
Sopa agredolça vietnamita (Canh Chua),mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['hivern', 'tardor']","['peix', 'ceba tendra', 'salsa de peix', 'sal', 'pebre', 'aigua', 'bambú', 'pinya', 'cilantre']"
Pancake somali (Canjeero),mitjana,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'llevat', 'sucre', 'aigua', 'sal']"
Cannoli sicilià,mitjana,mitjana,fred,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['canyes de cannoli', 'ricotta', 'sucre', 'nata', 'xocolata', 'sucre glaç']"
Pollastre cruixent cantonès,gran,alta,tebi,segon,formal,8.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['sal', 'pebre de Sichuan', 'espècies xineses', 'pollastre', 'salsa de soja', 'vinagre', 'sucre', 'oli', 'galeta de gambes']"
Ànec rostit cantonès,gran,alta,tebi,segon,formal,9.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salsa de soja', 'espècies xineses', 'salsa hoisin', 'ànec', 'ceba tendra']"
Cao lầu (fideus vietnamites amb porc i verdures),mitjana,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'fideus d’arròs', 'brots de soja', 'all', 'espècies xineses', 'salsa de soja', 'sucre', 'brou', 'cúrcuma', 'oli', 'aigua', 'enciams', 'verdures asiàtiques', 'chili', 'pa torrat', 'ceba tendra']"
Pollastre amb mantega al curri (Cape Malay),mitjana,mitjana,tebi,segon,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['iogurt', 'oli', 'gingebre', 'all', 'llimona', 'pebre negre', 'pebre blanc', 'clau', 'cayenna', 'sal', 'pollastre', 'mantega', 'tomàquet', 'nata', 'menta']"
Caponata siciliana (albergínia i verdures),mitjana,mitjana,tebi,segon,informal,5.0,['totes'],['estiu'],"['albergínia', 'olives', 'tàperes', 'api', 'tomàquet', 'ceba', 'vinagre', 'sucre', 'alfàbrega', 'pinyons', 'oli', 'sal']"
Sopa de cappelletti (Cappelletti in Brodo),mitjana,baixa,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['cappelletti', 'brou de pollastre', 'parmesà']"
Mousse de cafè amb nata,petita,baixa,fred,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cafè', 'sucre', 'xarop de xocolata', 'nata']"
Amanida Caprese,petita,baixa,fred,primer,formal,4.5,['totes'],['estiu'],"['tomàquet', 'alfàbrega', 'oli d’oliva', 'vinagre balsàmic', 'orenga', 'pebre']"
Pastís de cafè amb caramel,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'sucre', 'oli', 'vainilla', 'farina', 'sal', 'llevat', 'mantega', 'llet', 'sucre morè']"
Salsa de caramel I,petita,mitjana,fred,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sucre', 'aigua']"
Salsa de caramel II,petita,alta,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'sucre', 'xarop de blat de moro', 'sal', 'nata', 'mantega']"
Caramels quadrats,petita,alta,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'mantega', 'sucre', 'xarop daurat', 'llet condensada', 'xocolata']"
Pinya caramel·litzada,mitjana,alta,calent,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['pinya', 'sucre morè', 'nata', 'rom', 'vainilla']"
Salsa de gerds caramel·litzada,petita,alta,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gerds', 'sucre', 'nata', 'mantega', 'vainilla']"
Pasta carbonara,gran,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'panxeta', 'ceba', 'llimona', 'sal', 'pebre', 'formatge', 'pasta']"
Pa de cardamom,gran,alta,tebi,postres,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sal', 'pell de taronja', 'cardamom', 'llevat', 'aigua', 'sucre', 'mantega', 'llet', 'ou', 'sucre perlat', 'ametlles']"
Entrecot farcit (Carpetbag Steak),gran,alta,tebi,segon,formal,9.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'cayenna', 'llimona', 'oli', 'ostres', 'salsa Worcestershire', 'llima', 'formatge']"
Carquinyolis catalans,petita,alta,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'canyella', 'llevat químic', 'ou', 'sucre', 'llimona', 'ametlles']"
Crema de pastanaga i coriandre,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'pastanaga', 'coriandre', 'brou de verdures', 'sal', 'pebre']"
Amanida de pastanaga i panses,mitjana,alta,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'panses', 'llimona', 'taronja', 'sucre']"
Pastís de pastanaga I,mitjana,mitjana,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sucre', 'formatge fresc', 'margarina', 'vainilla', 'farina', 'pastanaga', 'canyella', 'llimona', 'llevat', 'ou', 'panses', 'nous']"
Pastís de pastanaga II,gran,alta,tebi,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'farina', 'bicarbonat', 'sucre', 'ou', 'canyella', 'pastanaga', 'nous', 'formatge fresc', 'mantega']"
Fufu de pastanaga,petita,mitjana,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'aigua', 'espessidor vegetal']"
Arròs Jollof de pastanaga,mitjana,mitjana,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'pastanaga', 'pebre', 'oli vegetal', 'ceba', 'peix sec', 'brou', 'sal']"
Kugel de pastanaga,petita,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'sucre', 'mantega', 'poma', 'llimona', 'pastanaga', 'farina de patata']"
Púding de pastanaga,mitjana,alta,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'farina', 'sal', 'llevat químic', 'bicarbonat', 'mantega', 'ou', 'sucre morè', 'aigua', 'llimona', 'vainilla']"
Amanida de pastanaga,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'oli d’ametlla', 'vinagre balsàmic blanc', 'sal', 'pebre', 'pinyons', 'enciams', 'cibulet']"
Pastanagues saltejades estil Kinpira,mitjana,mitjana,calent,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'oli de sèsam', 'aigua', 'salsa de soja']"
Pollastre amb anacards,gran,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'gingebre', 'verdures', 'salsa de soja', 'oli', 'anacards', 'brou', 'midó']"
Amanida de mandioca,petita,baixa,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mandioca', 'pebrot vermell', 'ceba vermella', 'ceba tendra', 'api', 'llimona', 'sal', 'cayenna', 'maionesa']"
Cassoulet francès,gran,alta,tebi,segon,formal,7.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes blanques', 'comí', 'porc', 'ànec o oca', 'oli', 'ceba', 'vi blanc', 'bouquet garni', 'sal', 'pebre', 'claus', 'ginebró']"
Sopa de peix gat i plàtan amb pebre,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix gat', 'pebre', 'espècies africanes', 'plàtan', 'cranc sec', 'ceba', 'brou', 'sal', 'fulles aromàtiques']"
Sopa picant de peix gat,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix gat', 'brou', 'ceba', 'pebre picant', 'espècies africanes', 'julivert', 'sal']"
Coliflor amb formatge,mitjana,mitjana,fred,segon,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['coliflor', 'salsa blanca', 'formatge', 'mantega', 'pa ratllat', 'sal', 'pebre']"
Arròs de coliflor,mitjana,mitjana,fred,segon,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['coliflor', 'vinagre', 'oli vegetal', 'sal', 'pebre blanc']"
Causa farcida de pollastre peruana,mitjana,mitjana,fred,segon,formal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'maionesa', 'mantega', 'all', 'sal', 'pebre', 'enciam', 'ou dur', 'olives negres']"
Cassola gallega d’ou pernil i formatge,mitjana,baixa,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'pernil', 'formatge', 'sal']"
Mongetes pinto texanes,mitjana,mitjana,tebi,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes pinto', 'aigua', 'pebre negre', 'sal', 'os de pernil', 'llaurer']"
Ou centenari amb pernil i gingebre,petita,baixa,fred,primer,formal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou centenari', 'pernil', 'gingebre en vinagre']"
Peix a la graella txadià,gran,alta,tebi,segon,formal,7.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli vegetal', 'paprika', 'gingebre', 'all', 'comí', 'coriandre', 'sal', 'pebre', 'peix', 'llimona']"
Amanida txadiana,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tomàquet', 'cogombre', 'ceba', 'pebrot', 'pastanaga', 'llimona', 'oli d’oliva', 'sal', 'pebre', 'julivert o menta']"
Púding indi de blat i arròs dolç (Chakarai Pongal),mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'llenties', 'aigua', 'anacards', 'panses', 'cardamom', 'ghee', 'sucre de palma', 'llet']"
Chakchouka (ous al Magrib amb tomàquet i pebrot),mitjana,mitjana,calent,segon,informal,6.0,['totes'],['estiu'],"['oli d’oliva', 'ceba', 'pebrot vermell', 'all', 'tomàquet', 'comí', 'paprika', 'sal', 'pebre picant', 'ou']"
Challah jueu,gran,mitjana,calent,postres,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sucre', 'sal', 'aigua', 'llevat', 'ou', 'oli', 'llavors de sèsam']"
Champ (puré irlandès de patata i cibulet),petita,mitjana,calent,segon,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'cibulet', 'llet', 'pebre', 'sal', 'mantega']"
Vinagreta de xampany,petita,mitjana,fred,primer,formal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['all', 'vinagre de xampany', 'pebre', 'sal', 'mostassa de Dijon', 'oli d’oliva']"
Champorado (porridge filipí de xocolata i arròs),mitjana,alta,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs glutinós', 'aigua', 'sucre', 'cacau', 'llet evaporada']"
Goulash de rossinyols,mitjana,mitjana,calent,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['rossinyols', 'ceba', 'mantega', 'nata agra', 'paprika', 'vinagre de vi blanc', 'farina', 'julivert', 'sal', 'pebre']"
Chapati indi,petita,alta,calent,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat', 'sal', 'aigua', 'ghee']"
Chapati Za Maji (pancakes tanzans),mitjana,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'ou', 'aigua', 'farina', 'sucre', 'sal', 'oli']"
