nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,categoria,procedencia_plat
Sopa Abak,mitjana,mitjana,tebi,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['fruita de palma', 'peix', 'marisc', 'carn', 'ceba', 'brou', 'all', 'espècies', 'cranc sec', 'fulles', 'sal']",sopa_crema,Nigèria
Sopa Achi,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn de cabra', 'carn', 'peix fumat', 'espècies', 'sal', 'ceba', 'pebrot', 'cranc sec', 'llavors fermentades', 'oli de palma', 'achi', 'fulles']",sopa_crema,Nigèria
Sopa Afang,mitjana,alta,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'carn', 'ceba', 'espècies', 'oli de palma', 'fulles', 'sal', 'marisc']",sopa_crema,Nigèria
Sopa Ager,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ager', 'oli de palma', 'carn', 'peix', 'espècies', 'sal', 'pebrot']",sopa_crema,Nigèria
Sopa agredolça,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'soja', 'carn', 'xampinyons', 'tall d'ou', 'vinagre', 'pebre', 'bambú', 'ou', 'ceba tendra', 'sèsam']",sopa_crema,Xina
Sopa agredolça vietnamita (Canh Chua),mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['hivern', 'tardor']","['peix', 'ceba tendra', 'salsa de peix', 'sal', 'pebre', 'aigua', 'bambú', 'pinya', 'cilantre']",sopa_crema,Vietnam
Sopa Ashwe,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['pebrot', 'tomàquet', 'ceba', 'fulles', 'oli', 'carn', 'sal']",sopa_crema,Nigèria
Sopa asteca de fesols,mitjana,baixa,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'mongetes', 'ceba', 'all', 'pebrot', 'espècies']",sopa_crema,Mèxic
Sopa Atama,mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'peix', 'fruita', 'espècies', 'cranc sec', 'sal']",sopa_crema,Nigèria
Sopa Atyever,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles', 'aigua', 'oli', 'peix', 'espècies', 'sal']",sopa_crema,Nigèria
Sopa Banga,mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'peix sec', 'sal', 'ceba', 'brou', 'oli de palma', 'chili', 'espècies', 'cranc sec', 'herbes']",sopa_crema,Nigèria
Sopa birmana de peix amb fideus (Mohingha),mitjana,baixa,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'all', 'líquid', 'espècies', 'pebre', 'ketchup', 'fideus', 'peix']",sopa_crema,Birmània
Sopa Bokolisa nigeriana,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llavors de bokolisa', 'oli', 'vedella', 'sal', 'cub de brou', 'ceba', 'ponmo', 'peix sec', 'xili']",sopa_crema,Nigèria
Sopa brasilera de mongetes negres,mitjana,mitjana,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'aigua', 'all', 'ceba', 'ceba tendra', 'clau', 'comí', 'xili', 'sal', 'pebre']",sopa_crema,Brasil
Sopa búlgara de cogombre (Tarator),baixa,baixa,fred,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['iogurt', 'aigua', 'cogombre', 'all', 'vinagre', 'oli', 'sal']",sopa_crema,Bulgària
Sopa búlgara de mandonguilles (Supa Topcheta),mitjana,alta,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella picada', 'arròs', 'paprika', 'herbes seques', 'sal', 'pebre', 'aigua', 'brou de vedella', 'ceba tendra', 'pebrot verd', 'pastanaga', 'tomàquet', 'julivert', 'ou', 'llimona']",sopa_crema,Bulgària
Sopa búlgara de verdures (Zelenchukova Supa),mitjana,mitjana,tebi,primer,informal,4.5,['totes'],['estiu'],"['sal', 'pastanaga', 'api', 'pebrot', 'patata', 'oli', 'ceba', 'tomàquet', 'farina', 'paprika', 'remolatxa', 'iogurt', 'ou', 'julivert', 'formatge kashkaval']",sopa_crema,Bulgària
Sopa camerunesa de fulles amargues i cacauet,gran,alta,tebi,primer,formal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'maggi', 'ceba', 'peix sec', 'cacauets', 'all', 'cranc sec', 'fulles amargues', 'oli', 'gamba']",sopa_crema,Camerun
Sopa capverdiana de peix (Caldo de Peixe),mitjana,mitjana,calent,primer,informal,6.0,['totes'],['estiu'],"['patata', 'moniato', 'pebrot verd', 'pebrot vermell', 'ceba', 'tomàquet', 'peix', 'ceba tendra', 'julivert']",sopa_crema,Cap Verd
Sopa chowder de Nova Anglaterra,mitjana,mitjana,calent,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix blanc', 'bacó', 'ceba', 'farina', 'pebre', 'sal', 'galetes']",sopa_crema,Estats Units
Sopa consistent de vedella i verdures,mitjana,mitjana,calent,primer,informal,5.5,['totes'],['estiu'],"['vedella', 'margarina', 'ceba', 'brou', 'aigua', 'api', 'alfàbrega', 'tomàquet', 'pastanaga', 'pasta', 'espinacs']",sopa_crema,Internacional
Sopa cremosa de bolets,gran,alta,calent,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'mantega', 'farina', 'ceba', 'llet', 'nata', 'sal', 'julivert']",sopa_crema,Internacional
Sopa cremosa de pollastre amb llimona,petita,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'brou de pollastre', 'llimona', 'all', 'sal', 'pebre', 'ceba', 'api', 'nata', 'farigola', 'romaní', 'oli', 'pastanaga', 'llaurer']",sopa_crema,Internacional
Sopa cremosa d’ànec i bolets,gran,alta,tebi,primer,formal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brou d’ànec', 'rovell d’ou', 'llet', 'carn d’ànec', 'bolets', 'farigola', 'nou moscada']",sopa_crema,França
Sopa Crotopo,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'vedella', 'pernil', 'rovell d’ou', 'sal', 'pebre', 'pa']",sopa_crema,Itàlia
Sopa de blat de moro,mitjana,mitjana,calent,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'aigua', 'mantega', 'farina', 'ou', 'sal', 'pebre']",sopa_crema,Internacional
Sopa de blat de moro (Omi Ukpoka),mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'peix fumat', 'gamba', 'bouillon', 'sal', 'nostre', 'blat de moro', 'uziza']",sopa_crema,Nigèria
Sopa de blat de moro i algues,mitjana,mitjana,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'algues', 'llet', 'aigua', 'pebrot', 'mantega', 'sal', 'pebre']",sopa_crema,Japó
Sopa de blat de moro i gambes,mitjana,alta,calent,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'pastanaga', 'all', 'brou', 'anís', 'blat de moro', 'gamba', 'nata', 'julivert', 'sal', 'pebre']",sopa_crema,Internacional
Sopa de blat de moro i pollastre dolça,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'midó', 'pollastre', 'nata', 'pebre', 'sal', 'ou', 'verdures']",sopa_crema,Xina
Sopa de bolets amb massa mare (Kyselo),mitjana,mitjana,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'massa mare', 'bolets secs', 'llavors de comí', 'aigua', 'ceba', 'mantega', 'ou', 'sal', 'vinagre', 'herbes']",sopa_crema,Txèquia
Sopa de bolets amb ordi i fesols,mitjana,mitjana,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'ceba', 'bolets', 'mongetes', 'ordi', 'pastanaga', 'carbassó', 'brou', 'sal', 'pebre']",sopa_crema,Europa Central
Sopa de bolets Gabi Supa,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'mantega', 'farina', 'llet', 'aigua', 'julivert']",sopa_crema,Alemanya
Sopa de bolets nigeriana amb pebre,mitjana,baixa,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'pebre', 'ceba', 'cub de brou', 'pebre', 'bolets', 'fulles', 'nchu anwu']",sopa_crema,Nigèria
Sopa de cacauet (Omisagwe),mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pebrot', 'mongetes', 'stockfish', 'uziza', 'carn', 'ceba', 'bouillon', 'llavors de crayfish', 'peix sec', 'oli de palma', 'fulles amagres', 'sal']",sopa_crema,Nigèria
Sopa de cacauet ghanesa (Nkatenkwan),mitjana,mitjana,calent,primer,informal,5.5,['totes'],['estiu'],"['pollastre', 'pebrot', 'ceba', 'all', 'gingebre', 'tomàquet', 'brou', 'cacauet']",sopa_crema,Ghana
Sopa de callos búlgara (Shkembe Chorba),alta,alta,calent,primer,formal,5.5,['totes'],['estiu'],"['mantega', 'brou de vedella', 'ceba', 'pebrot', 'marjoram', 'llorer', 'farina', 'julivert', 'tripa', 'formatge kashkaval']",sopa_crema,Bulgària
Sopa de cappelletti (Cappelletti in Brodo),mitjana,baixa,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['cappelletti', 'brou de pollastre', 'parmesà']",sopa_crema,Itàlia
Sopa de carbassa,petita,baixa,calent,primer,informal,4.5,['totes'],['tardor'],"['ceba', 'pastanaga', 'patata', 'zucchini', 'oli', 'carbassa', 'cigrons', 'aigua']",sopa_crema,Internacional
Sopa de carbassa amb curri,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['tardor'],"['puré de carbassa', 'brou', 'ceba', 'oli', 'curri', 'nou moscada', 'lluït', 'pebre', 'nata']",sopa_crema,Internacional
Sopa de carbassa nigeriana,mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'tardor']","['carbassa', 'carn', 'ceba', 'sal', 'brou', 'tatashe', 'dawadawa', 'oli', 'tomàquet', 'cacauet', 'stockfish', 'peix sec', 'verdures']",sopa_crema,Nigèria
Sopa de cargols amb pebre nigeriana,mitjana,baixa,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cargols', 'ceba', 'pebre', 'cub de brou', 'sal', 'oli de palma', 'uziza', 'fulles', 'nchu anwu']",sopa_crema,Nigèria
Sopa de carn líbia (Shorba bil Lahm),gran,alta,tebi,primer,formal,6.0,['totes'],['estiu'],"['oli', 'ceba', 'all', 'carn', 'comí', 'coriandre', 'cúrcuma', 'pebre vermell', 'sal', 'pebre', 'pastanaga', 'patata', 'tomàquet', 'brou', 'julivert']",sopa_crema,Líbia
Sopa de ceba,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'mantega', 'farina', 'brou de vedella', 'herbes', 'pa', 'gruyère', 'nutmeg', 'sal', 'pebre']",sopa_crema,França
Sopa de cigrons picant,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['hivern', 'tardor']","['cigrons', 'llet de coco', 'brou de pollastre', 'salsa', 'garam masala', 'gingebre', 'suc de poma', 'cilantro']",sopa_crema,Índia
Sopa de civada Quaker,petita,baixa,calent,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'civada', 'ceba', 'pastanaga', 'carn', 'llorer', 'pebre']",sopa_crema,Regne Unit
Sopa de col sueca (Kålsoppa),mitjana,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'ceba', 'brou de porc', 'sal', 'pebre blanc', 'espècies']",sopa_crema,Suècia
Sopa de costella de porc (Bak Kut Teh),gran,alta,tebi,primer,informal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'costelles de porc', 'all', 'ginseng', 'canella', 'anís', 'pebre blanc', 'pebre negre', 'sucre', 'salsa de soja', 'shallots', 'sal']",sopa_crema,Malàisia
Sopa de crestes (Frittaten Soup),petita,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'os', 'carn', 'ceba', 'api', 'pastanaga', 'porro', 'salvia', 'sal', 'cibulet', 'ou', 'llet', 'farina', 'mantega']",sopa_crema,Àustria
Sopa de curri amb iogurt (Kadhi),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de cigró', 'iogurt', 'gingebre', 'xili', 'fulles de curri', 'sucre', 'sal', 'ghee', 'comí', 'mostassa', 'asafoetida', 'cilantro']",sopa_crema,Índia
Sopa de fideus i vedella vietnamita (Bún bò Huế),alta,mitjana,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pasta de gambes', 'ceba', 'oli', 'peu de porc', 'herbes', 'vedella', 'salsa de peix', 'sucre', 'xili', 'fideus d’arròs', 'llimona', 'germinats']",sopa_crema,Vietnam
Sopa de fruits de palma (Moambe),mitjana,alta,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['tardor'],"['nous de palma', 'oli', 'ceba', 'all', 'carn', 'gingebre', 'pebre negre', 'okra', 'fulles', 'peix sec', 'hibisc', 'sal']",sopa_crema,Congo
Sopa de fulles amargues hausa,mitjana,alta,calent,primer,informal,5.5,['totes'],['estiu'],"['carn', 'fulles amargues', 'ceba', 'tatashe', 'tomàquet', 'oli', 'locust beans', 'sal']",sopa_crema,Nigèria
Sopa de fulles Awa (Ofe Awa),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles d’awa', 'llavors de crayfish', 'fulles d’uziza', 'pebrot', 'ogiri', 'carn', 'peix sec', 'oli de palma', 'bouillon', 'llavors d’okónbo']",sopa_crema,Nigèria
Sopa de fulles de baobab,mitjana,mitjana,fred,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix sec', 'dawadawa', 'cranc sec', 'atarugu', 'carn', 'brou', 'sal', 'ceba', 'Kuka powder']",sopa_crema,Níger
Sopa de fulles de mandioca liberiana,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles de cassava', 'carn', 'ceba', 'all', 'pebrot', 'oli de palma', 'brou', 'moniato', 'plàtan', 'sal', 'pebre']",sopa_crema,Liberia
Sopa de fulles de sèsam nigeriana,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles de sesame', 'aigua', 'locust beans', 'peix', 'carn', 'potassa', 'brou', 'sal']",sopa_crema,Nigèria
Sopa de fulles Ugu (Ofe Ugu),gran,alta,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles d’ugu', 'aigua', 'oli de palma', 'pebre', 'ceba', 'bouillon', 'carn', 'llavors de crayfish', 'sal']",sopa_crema,Nigèria
Sopa de gall dindi,alta,alta,tebi,primer,informal,5.0,['totes'],['primavera'],"['gall dindi', 'api', 'bròquil', 'fideus', 'sàlvia', 'romer', 'farina d’ou', 'oli', 'préssec', 'corn']",sopa_crema,Estats Units
Sopa de gingebre,alta,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gingebre', 'sal', 'aigua', 'pebre', 'espècies', 'peix', 'carn']",sopa_crema,Àsia Oriental
Sopa de gulaix,alta,alta,tebi,primer,formal,5.5,['totes'],['estiu'],"['carn', 'ceba', 'patata', 'oli', 'paprika', 'espècies', 'vinagre', 'brou']",sopa_crema,Hongria
Sopa de hibisc nigeriana (Obe Ishapa),mitjana,mitjana,calent,primer,informal,5.5,['totes'],['estiu'],"['carn', 'bouillon', 'fulles de hibisc', 'potassa', 'llavors', 'pebrot', 'ceba', 'tomàquet', 'oli de palma', 'llavors fermentades', 'peix sec', 'sal']",sopa_crema,Nigèria
Sopa de iogurt de l’Azerbaidjan (Dovga),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['iogurt', 'arròs', 'ou', 'herbes', 'pèsols']",sopa_crema,Azerbaidjan
Sopa de jute hausa,mitjana,alta,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'brou', 'ceba', 'pebre', 'lalo', 'kanwa', 'daddawa']",sopa_crema,Nigèria
Sopa de knoephla,gran,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['knoephla', 'aigua', 'bouillon', 'ceba', 'mantega', 'patata', 'nata', 'julivert', 'sal', 'pebre']",sopa_crema,Alemanya
Sopa de la reina,mitjana,mitjana,fred,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'llet', 'mantega', 'brou']",sopa_crema,França
Sopa de les Tres Germanes,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'mongeta', 'carabassa', 'patata', 'aigua', 'boulon', 'mantega', 'farina', 'pebre', 'sal']",sopa_crema,Amèrica del Nord
Sopa de llavors de cotó nigeriana,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['llavors de cotó', 'oli de palma', 'peix sec', 'carn de bosc', 'cranc sec', 'iru', 'ceba', 'tomàquet', 'xili', 'cub de brou', 'espinacs']",sopa_crema,Nigèria
Sopa de llavors de mahogany (Ofe Akparata),mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba', 'sal', 'bouillon', 'kpomo', 'stockfish', 'llavors d’egusi', 'pols akparata', 'oli de palma', 'peix sec', 'pebrot', 'fulles']",sopa_crema,Nigèria
Sopa de llenties,mitjana,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli’, ‘ceba’, ‘pastanaga’, ‘all’, ‘llenties’, ‘aigua’, ‘llorer’]",sopa_crema,Internacional
Sopa de llenties egípcia,mitjana,mitjana,tebi,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llenties', 'ceba', 'all', 'oli', 'comí', 'coriandre', 'paprika', 'cúrcuma', 'brou', 'llimona', 'herbes']",sopa_crema,Egipte
Sopa de llenties ordi i tomàquet,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['llenties’, ‘ordi’, ‘mantega’, ‘ceba’, ‘aigua’, ‘tomàquet’, ‘sal’, ‘pebre’]",sopa_crema,Internacional
Sopa de lletuga,petita,baixa,tebi,primer,formal,3.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'aurantium', 'pastanaga', 'ceba', 'pa', 'formatge']",sopa_crema,França
Sopa de mantega de cacauet,mitjana,alta,tebi,primer,informal,5.5,['totes'],['estiu'],"['mantega de cacauet', 'gingebre', 'pebrot', 'ceba', 'all', 'carn', 'sal', 'brou', 'fulles', 'tomàquet', 'pasta de tomàquet', 'peix sec']",sopa_crema,Àfrica Occidental
Sopa de marisc gambià,gran,alta,tebi,primer,informal,6.0,['totes'],['estiu'],"['oli', 'ceba', 'all', 'carn', 'pastanaga', 'patata', 'api', 'pebrot', 'tomàquet', 'brou', 'comí', 'herbes']",sopa_crema,Gàmbia
Sopa de meló de Zimbabwe (Umxhanxa),alta,alta,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['síndria groga', 'blat de moro', 'sucre']",sopa_crema,Zimbabwe
Sopa de miso,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sèsam', 'aigua', 'miso', 'ceba tendra', 'tofu', 'fongs', 'gamba']",sopa_crema,Japó
Sopa de miso tradicional,petita,baixa,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['dashi', 'miso', 'tofu', 'wakame', 'daikon', 'fideus', 'cloïsses']",sopa_crema,Japó
Sopa de mongetes amb peix,mitjana,mitjana,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'pastanaga', 'patata', 'peix', 'brou', 'espècies']",sopa_crema,Internacional
Sopa de mongetes amb vedella fumada,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'vedella', 'espècies']",sopa_crema,Internacional
Sopa de mongetes blanques (Bob Chorba),baixa,baixa,tebi,primer,informal,4.5,['totes'],['estiu'],"['mongeta blanca', 'pastanaga', 'api', 'ceba', 'tomàquet', 'pebrot', 'xili', 'julivert', 'oli', 'sal']",sopa_crema,Bulgària
Sopa de mongetes blanques amb crostonets,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes blanques', 'brou de pollastre', 'all', 'alfàbrega', 'romer', 'flocs de xili']",sopa_crema,Itàlia
Sopa de mongetes blanques i fulles de carbassa,alta,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongeta blanca', 'pebrot', 'peix sec', 'all', 'cranc', 'ceba', 'sal', 'pebre', 'carn']",sopa_crema,Nigèria
Sopa de mongetes blanques italiana,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","[‘mongetes’, ‘sal’, ‘mantega’, ‘pastanaga’, ‘ceba’, ‘porro’, ‘api’, ‘brou’, ‘ou’, ‘nata’, ‘pèsols’, ‘pa ratllat’]",sopa_crema,Itàlia
Sopa de mongetes Gbegiri,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'pebrot', 'all', 'ceba', 'oli', 'brou']",sopa_crema,Nigèria
Sopa de mongetes i chili verd,petita,baixa,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'mongetes', 'salsa verda', 'ceba', 'crema agra']",sopa_crema,Mèxic
Sopa de mongetes negres,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'llaurer', 'pebrot', 'chili', 'all', 'ceba', 'vinagre', 'cilantre', 'sal', 'pebre', 'crema agra']",sopa_crema,Mèxic
Sopa de mongetes negres amb salsa verda,mitjana,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'brou', 'salsa verda', 'cilantre', 'comí']",sopa_crema,Mèxic
Sopa de mongetes negres amb tomàquet i tomatillo,mitjana,alta,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'tomatillo', 'chili', 'comí', 'coriandre', 'vinagre', 'crema agra']",sopa_crema,Mèxic
Sopa de mongetes vegetariana,mitjana,mitjana,tebi,primer,formal,4.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['brou vegetal', 'aigua', 'verdures', 'tomàquet', 'pasta', 'mongetes', 'espècies', 'formatge']",sopa_crema,Internacional
Sopa de moniato d’aigua (Ifokore),petita,alta,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","[‘moniato’, ‘sal’, ‘brou’, ‘cranc sec’, ‘pebre’, ‘oli’, ‘llavors’, ‘pebrot’, ‘maggi’, ‘carn’, ‘peix’, ‘ponmo’, ‘gambes’, ‘ogiri’]",sopa_crema,Nigèria
Sopa de moniato i cacauet (M'batata),mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'all', 'moniato', 'brou', 'cacauets', 'comí', 'coriandre', 'espècies', 'llet de coco', 'cilantre']",sopa_crema,Malawi
Sopa de moringa nigeriana,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['fulles de moringa', 'cacauet', 'carn', 'maggi', 'peix sec', 'oli', 'ceba', 'tomàquet', 'pebre']",sopa_crema,Nigèria
Sopa de mustard greens i carn seca,alta,alta,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles de mostassa', 'sal', 'llom de porc', 'midó de blat de moro', 'salsa de soja', 'sucre', 'brou', 'fideus']",sopa_crema,Xina
Sopa de ogbono,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'oli roja', 'llavors d’okìbó', 'llavors de crayfish', 'ponmo', 'stockfish', 'peix sec', 'pebrot', 'fulles ugwu', 'bouillon']",sopa_crema,Nigèria
Sopa de okra i ugba (Ofe Ugba),mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llavors de crayfish', 'pebrot', 'dawadawa', 'carn', 'stockfish', 'sal', 'bouillon', 'okra', 'ugba', 'fulles']",sopa_crema,Nigèria
Sopa de papaia nigeriana,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['papaia seca', 'peix sec', 'cranc sec', 'carn', 'ceba', 'sal', 'cub de brou', 'oli', 'xili', 'iru']",sopa_crema,Nigèria
Sopa de pasta i fesols,alta,alta,calent,primer,formal,7.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['all', 'ceba', 'tomàquet', 'mongetes', 'aigua', 'brou', 'nata']",sopa_crema,Internacional
Sopa de pasta per a nens,baixa,baixa,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'pastanaga', 'carbassó', 'carabassa', 'blat de moro', 'pèsols', 'tofu', 'pasta']",sopa_crema,Internacional
Sopa de patata,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'llet', 'ceba', 'pastanaga', 'mantega', 'aigua', 'brou', 'pebre', 'farina', 'julivert', 'farigola']",sopa_crema,Internacional
