nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm
Bolets farcits de cranc,formal,calent,mitjana,mitjana,segon,marisc,Estats Units,11.62,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'sopa de verdures', 'cranc', 'nata', 'pa ratllat', 'julivert', 'sal', 'pebre', 'oli']","['bolets', 'sopa de verdures', 'cranc', 'nata', 'pa ratllat', 'julivert', 'sal', 'pebre', 'oli']"
Bolets farcits vegetals al forn,formal,tebi,alta,mitjana,segon,forn_brasa,Mediterrània,12.24,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['vinagre', 'all', 'ceba', 'xampinyó', 'oli', 'albergínia', 'espinacs', 'formatge', 'tomàquet', 'carxofa', 'parmesà']","['vinagre', 'all', 'ceba', 'xampinyó', 'oli', 'albergínia', 'espinacs', 'formatge', 'tomàquet', 'carxofa', 'parmesà']"
Bruschetta de marisc,formal,tebi,mitjana,mitjana,segon,marisc,Itàlia,10.89,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gamba', 'cranc', 'mandonguilles de peix', 'julivert', 'sucre', 'sal', 'pebre', 'pa']","['gamba', 'cranc', 'mandonguilles de peix', 'julivert', 'sucre', 'sal', 'pebre', 'pa']"
Lluç arrebossat amb panko i llimona,formal,tebi,mitjana,petita,segon,peix,Mediterrània,12.37,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pa ratllat', 'herbes', 'pinyons', 'oli', 'sal', 'pebre', 'lluç', 'ou', 'llimona']","['pa ratllat', 'herbes', 'pinyons', 'oli', 'sal', 'pebre', 'lluç', 'ou', 'llimona']"
Bròquil rabe amb all i oli,formal,tebi,mitjana,mitjana,segon,vegetal_proteic,Itàlia,8.94,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['bròquil rabe', 'oli', 'all', 'pebre vermell', 'pebre negre', 'sal']","['bròquil rabe', 'oli', 'all', 'pebre vermell', 'pebre negre', 'sal']"
Calamar farcit vietnamita,formal,tebi,mitjana,mitjana,segon,marisc,Vietnam,12.41,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['calamar', 'ceba tendra', 'bolets negres', 'salsa de peix', 'pastanaga', 'brots de bambú', 'brou', 'carn', 'all', 'mel', 'sal']","['calamar', 'ceba tendra', 'bolets negres', 'salsa de peix', 'pastanaga', 'brots de bambú', 'brou', 'carn', 'all', 'mel', 'sal']"
Calamars cruixents amb llimona i all,informal,tebi,alta,mitjana,segon,marisc,Mediterrània,11.23,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['calamar', 'ou', 'llimona', 'farina', 'blat de moro', 'sal', 'pebre', 'oli', 'julivert', 'all']","['calamar', 'ou', 'llimona', 'farina', 'blat de moro', 'sal', 'pebre', 'oli', 'julivert', 'all']"
Calzones d'espinacs i formatges,formal,tebi,mitjana,mitjana,segon,forn_brasa,Itàlia,12.03,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ricotta', 'ou', 'espècies', 'mozzarella', 'parmesà', 'espinacs', 'sal', 'pebre', 'massa']","['ricotta', 'ou', 'espècies', 'mozzarella', 'parmesà', 'espinacs', 'sal', 'pebre', 'massa']"
Carabassa kabocha farcida d'arròs i tempeh,formal,tebi,alta,mitjana,segon,vegetal_proteic,Àsia Oriental,11.63,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli de cacauet', 'ceba tendra', 'gingebre', 'xili', 'tempeh', 'soia', 'arròs', 'carabassa']","['oli de cacauet', 'ceba tendra', 'gingebre', 'xili', 'tempeh', 'soia', 'arròs', 'carabassa']"
Carbassa d'aglà caramel·litzada amb aranja,formal,calent,mitjana,mitjana,segon,forn_brasa,Amèrica del Nord,12.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'melmelada', 'mantega', 'sal']","['carbassa', 'melmelada', 'mantega', 'sal']"
Carbassa farcida mediterrània amb fruits secs,formal,tebi,alta,mitjana,segon,vegetal_proteic,Mediterrània,9.69,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'oli', 'arròs', ""oli d'ametlla"", 'fruits secs', 'pebre', 'sal', 'ceba', 'pebrot', 'aigua', 'all', 'formatge']","['carbassa', 'oli', 'arròs', ""oli d'ametlla"", 'fruits secs', 'pebre', 'sal', 'ceba', 'pebrot', 'aigua', 'all', 'formatge']"
Carbassons farcits d'espinacs i bolets,informal,calent,mitjana,mitjana,segon,vegetal_proteic,Internacional,8.54,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['zucchini', 'oli', 'espinacs', 'ceba', 'bolets', 'ou', 'pebre', 'sal', 'paprika', 'all']","['zucchini', 'oli', 'espinacs', 'ceba', 'bolets', 'ou', 'pebre', 'sal', 'paprika', 'all']"
Carbassó farcit d'arròs i cheddar,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Mediterrània,6.92,['totes'],['estiu'],"['carbassó', 'ceba', 'all', 'oli', 'pebrot', 'tomàquet', 'herbes', 'arròs', 'mostassa', 'formatge cheddar']","['carbassó', 'ceba', 'all', 'oli', 'pebrot', 'tomàquet', 'herbes', 'arròs', 'mostassa', 'formatge cheddar']"
Carbassó farcit amb pa de blat de moro i formatges,formal,calent,alta,gran,segon,forn_brasa,Estats Units,12.01,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassó', 'pa de blat de moro', 'sal', 'pebre', 'formatge crema', 'ou', 'formatge ratllat', 'nata']","['carbassó', 'pa de blat de moro', 'sal', 'pebre', 'formatge crema', 'ou', 'formatge ratllat', 'nata']"
Xai especiat a la brasa,informal,calent,mitjana,mitjana,segon,forn_brasa,Nigèria,10.51,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xai', 'pebre', 'caiena', 'nou moscada', 'all', 'brou', 'sal', 'oli', 'ceba']","['xai', 'pebre', 'caiena', 'nou moscada', 'all', 'brou', 'sal', 'oli', 'ceba']"
Carn marinada a la sharmoula,informal,tebi,mitjana,mitjana,segon,forn_brasa,Líbia,9.33,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['all', 'oli', 'llimona', 'comí', 'paprika', 'coriandre', 'pebre vermell', 'sal', 'pebre negre', 'carn', 'julivert']","['all', 'oli', 'llimona', 'comí', 'paprika', 'coriandre', 'pebre vermell', 'sal', 'pebre negre', 'carn', 'julivert']"
Cassoleta de pasta gratinada,informal,calent,alta,mitjana,segon,farinaci_principal,Itàlia,15.67,['totes'],['estiu'],"['pasta', 'carn', 'salsitxa', 'ceba', 'pebrot', 'all', 'tomàquet', 'aigua', 'herbes', 'ou', 'formatge ricotta', 'formatge parmesà', 'pa ratllat']","['pasta', 'carn', 'salsitxa', 'ceba', 'pebrot', 'all', 'tomàquet', 'aigua', 'herbes', 'ou', 'formatge ricotta', 'formatge parmesà', 'pa ratllat']"
Cassola de blat de moro amb pollastre,informal,tebi,alta,gran,segon,aus,Estats Units,9.22,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'pa de blat de moro', 'sal', 'pebre', 'all', 'ceba', 'formatge', 'mantega', 'pa ratllat']","['pollastre', 'pa de blat de moro', 'sal', 'pebre', 'all', 'ceba', 'formatge', 'mantega', 'pa ratllat']"
Cassola de fideus amb tonyina,informal,calent,baixa,mitjana,segon,peix,Estats Units,8.18,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'llet', 'fideus', 'pèsols', 'crema']","['tonyina', 'llet', 'fideus', 'pèsols', 'crema']"
Cassola vegana de mongeta verda i bolets,informal,tebi,alta,mitjana,segon,vegetal_proteic,Internacional,8.26,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llevat nutricional', 'pèls secs', 'ceba', 'oli de coco', 'sal', 'pebres', 'aigua', 'bolets', 'pastanaga']","['llevat nutricional', 'pèls secs', 'ceba', 'oli de coco', 'sal', 'pebres', 'aigua', 'bolets', 'pastanaga']"
Cassola de peix agredolç mediterrani,formal,tebi,alta,mitjana,segon,peix,Mediterrània,13.41,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'tomàquet concentrat', 'sucre', 'cúrcuma', 'oli', 'ceba', 'pebrot', 'all', 'peix', 'sal', 'pebre', 'herbes']","['llimona', 'tomàquet concentrat', 'sucre', 'cúrcuma', 'oli', 'ceba', 'pebrot', 'all', 'peix', 'sal', 'pebre', 'herbes']"
Cassola del pescador amb salmó i macarrons,informal,calent,mitjana,gran,segon,marisc,Regne Unit,10.83,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['macarrons', 'formatge', 'llet', 'mostassa', 'ceba', 'nata', 'sal', 'salmó', 'pèsols', 'pa ratllat', 'mantega']","['macarrons', 'formatge', 'llet', 'mostassa', 'ceba', 'nata', 'sal', 'salmó', 'pèsols', 'pa ratllat', 'mantega']"
Cassola de pollastre i bròquil cremosa,informal,tebi,mitjana,mitjana,segon,aus,Estats Units,9.08,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'bròquil', 'nata', 'maionesa', 'llet', 'curri']","['pollastre', 'bròquil', 'nata', 'maionesa', 'llet', 'curri']"
Cassola de pollastre picant amb cheddar,informal,calent,mitjana,mitjana,segon,aus,Mèxic,10.96,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xili', 'nata', 'pollastre', 'salsa', 'tortilla de blat de moro', 'formatge cheddar']","['xili', 'nata', 'pollastre', 'salsa', 'tortilla de blat de moro', 'formatge cheddar']"
Cassola de salsitxes italianes dolces amb pasta,informal,tebi,mitjana,mitjana,segon,forn_brasa,Itàlia,10.44,['totes'],['estiu'],"['pasta', 'salchicha', 'tomàquet', 'mongetes', 'oli', 'oli', 'tomàquet', 'brou', 'formatge']","['pasta', 'salchicha', 'tomàquet', 'mongetes', 'oli', 'oli', 'tomàquet', 'brou', 'formatge']"
Cassola de sis capes de pagès,informal,tebi,mitjana,mitjana,segon,guisat,Internacional,8.6,['totes'],['estiu'],"['patata', 'pastanaga', 'ceba', 'arròs', 'carn', 'tomàquet', 'brou']","['patata', 'pastanaga', 'ceba', 'arròs', 'carn', 'tomàquet', 'brou']"
Cassola de tacos gratinada,informal,calent,mitjana,mitjana,segon,carn,Mèxic,10.11,['totes'],['estiu'],"['carn', 'espècies', 'xili', 'all', 'tomaquet', 'tortilla', 'formatge']","['carn', 'espècies', 'xili', 'all', 'tomaquet', 'tortilla', 'formatge']"
Cassola de tonyina cremosa,informal,tebi,baixa,mitjana,segon,peix,Estats Units,8.47,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'macarrons', 'llet', 'pèsols', 'crema', 'pa ratllat', 'mantega', 'ceba']","['tonyina', 'macarrons', 'llet', 'pèsols', 'crema', 'pa ratllat', 'mantega', 'ceba']"
Cassola d'albergínia i cigrons amb tomàquet,informal,tebi,alta,gran,segon,vegetal_proteic,Mediterrània,9.09,['totes'],['estiu'],"['oli', 'pebrot', 'all', 'albergínia', 'xampinyons', 'tomàquet', 'cigrons', 'herbes']","['oli', 'pebrot', 'all', 'albergínia', 'xampinyons', 'tomàquet', 'cigrons', 'herbes']"
Cassola d'arròs amb tonyina i pèsols,informal,tebi,baixa,mitjana,segon,peix,Internacional,8.57,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'pèsols', 'arròs', 'aigua', 'crema de cheddar']","['tonyina', 'pèsols', 'arròs', 'aigua', 'crema de cheddar']"
Arròs integral al forn amb bolets i ametlles,informal,tebi,baixa,gran,segon,farinaci_principal,Internacional,7.87,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['formatge', 'bolets', 'pèsols', 'arròs integral', 'oli', 'ametlles']","['formatge', 'bolets', 'pèsols', 'arròs integral', 'oli', 'ametlles']"
Truita al forn amb pernil i formatge,informal,tebi,baixa,mitjana,segon,aus,Espanya,8.36,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'pernil', 'formatge', 'sal']","['ou', 'pernil', 'formatge', 'sal']"
Cassoulet de mongetes i carns,formal,tebi,alta,gran,segon,guisat,França,16.62,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes blanques', 'comí', 'porc', 'ànec o oca', 'oli', 'ceba', 'vi blanc', 'bouquet garni', 'sal', 'pebre', 'claus', 'ginebró']","['mongetes blanques', 'comí', 'porc', 'ànec o oca', 'oli', 'ceba', 'vi blanc', 'bouquet garni', 'sal', 'pebre', 'claus', 'ginebró']"
Pollastre rostit clàssic,informal,calent,alta,mitjana,segon,aus,Regne Unit,11.78,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'oli o mantega', 'sal', 'pebre']","['pollastre', 'oli o mantega', 'sal', 'pebre']"
Coliflor gratinada amb formatge,formal,fred,mitjana,mitjana,segon,forn_brasa,Regne Unit,11.31,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['coliflor', 'salsa blanca', 'formatge', 'mantega', 'pa ratllat', 'sal', 'pebre']","['coliflor', 'salsa blanca', 'formatge', 'mantega', 'pa ratllat', 'sal', 'pebre']"
Cols bullides amb pernil fumat,informal,tebi,alta,mitjana,segon,guisat,Europa Central,9.27,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['col', 'greix de porc', 'sal', 'sucre', 'carn fumat', 'pebre', 'vinagre', 'ceba']","['col', 'greix de porc', 'sal', 'sucre', 'carn fumat', 'pebre', 'vinagre', 'ceba']"
Cols saltejades amb espècies suaus,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Etiòpia,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'gingebre', 'cúrcuma', 'paprika', 'comí', 'col', 'llimona']","['oli', 'ceba', 'gingebre', 'cúrcuma', 'paprika', 'comí', 'col', 'llimona']"
Cols guisades casolanes,informal,tebi,mitjana,mitjana,segon,guisat,Europa de l'Est,8.31,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cansalada', 'clau', 'sal', 'aigua', 'col']","['cansalada', 'clau', 'sal', 'aigua', 'col']"
Conill a l'abadia amb cervesa,formal,fred,mitjana,mitjana,segon,guisat,Bèlgica,17.35,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['conill', 'ceba', 'pastanaga', 'cervesa', 'mostassa']","['conill', 'ceba', 'pastanaga', 'cervesa', 'mostassa']"
Conill rostit a la llimona i all,formal,calent,mitjana,mitjana,segon,forn_brasa,Mediterrània,15.23,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['conill', 'mantega', 'all', 'llimona']","['conill', 'mantega', 'all', 'llimona']"
Corn dogs cruixents,informal,calent,mitjana,gran,segon,farinaci_principal,Estats Units,7.35,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat de moro', 'farina', 'sal', 'llet', 'ou', 'oli', 'salsitxes']","['farina de blat de moro', 'farina', 'sal', 'llet', 'ou', 'oli', 'salsitxes']"
Coronation Chicken cremós,formal,tebi,alta,mitjana,segon,aus,Regne Unit,12.12,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'oli', 'ceba', 'curri', 'tomàquet', 'vi', 'llimona', 'albercoc', 'maionesa', 'nata', 'sal', 'pebre', 'berros']","['pollastre', 'oli', 'ceba', 'curri', 'tomàquet', 'vi', 'llimona', 'albercoc', 'maionesa', 'nata', 'sal', 'pebre', 'berros']"
Costella principal al grill,formal,calent,mitjana,mitjana,segon,forn_brasa,Estats Units,20.07,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'espècies', 'oli']","['vedella', 'espècies', 'oli']"
Costelles al forn amb salsa barbacoa,informal,fred,alta,gran,segon,forn_brasa,Estats Units,11.51,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['costelles', 'rub', 'olors de fusta', 'salsa barbacoa']","['costelles', 'rub', 'olors de fusta', 'salsa barbacoa']"
Costelles amb glacejat de poma picant,informal,tebi,mitjana,mitjana,segon,forn_brasa,Estats Units,9.42,['totes'],"['hivern', 'tardor']","['costelles de porc', 'espècies', 'suc de poma', 'vinagre de sidra', 'worcestershire', 'mel', 'salsa de soia']","['costelles de porc', 'espècies', 'suc de poma', 'vinagre de sidra', 'worcestershire', 'mel', 'salsa de soia']"
Costelles amb préssec i gingebre,formal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,11.72,['totes'],"['hivern', 'tardor']","['porc', 'espècies', 'gingebre', 'préssec', 'soja', 'vinagre']","['porc', 'espècies', 'gingebre', 'préssec', 'soja', 'vinagre']"
Costelles coreanes a la graella,informal,tebi,alta,mitjana,segon,forn_brasa,Corea del Sud,11.98,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['soia', 'ceba tendra', 'all', 'sèsam', 'gingebre', 'oli', 'xili', 'vedella']","['soia', 'ceba tendra', 'all', 'sèsam', 'gingebre', 'oli', 'xili', 'vedella']"
Costelles de porc a la caçadora,informal,tebi,alta,mitjana,segon,guisat,Itàlia,13.68,['totes'],['estiu'],"['polenta', 'costelles', 'tomàquet', 'pastanaga', 'ceba', 'oli', 'mantega', 'all']","['polenta', 'costelles', 'tomàquet', 'pastanaga', 'ceba', 'oli', 'mantega', 'all']"
Costelles de porc al grill amb herbes,informal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,10.98,['totes'],"['hivern', 'tardor']","['porc', 'sal', 'melassa', 'vinagre', 'herbes', 'all', 'espècies', 'oli']","['porc', 'sal', 'melassa', 'vinagre', 'herbes', 'all', 'espècies', 'oli']"
Costelles de porc al forn amb poma,informal,tebi,mitjana,mitjana,segon,forn_brasa,Europa Occidental,11.63,['totes'],"['hivern', 'tardor']","['costelles de porc', 'poma', 'ceba', 'mel', 'comí', 'all', 'pebre', 'mostassa']","['costelles de porc', 'poma', 'ceba', 'mel', 'comí', 'all', 'pebre', 'mostassa']"
Costelles de porc amb bolets i all,formal,tebi,alta,mitjana,segon,guisat,Àsia Oriental,10.7,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brou', 'bolets', 'vinagre', 'soja', 'mel', 'pebre', 'oli', 'all', 'gingebre', 'porc']","['brou', 'bolets', 'vinagre', 'soja', 'mel', 'pebre', 'oli', 'all', 'gingebre', 'porc']"
Costelles de porc amb glacejat de melassa,informal,tebi,alta,mitjana,segon,forn_brasa,Estats Units,11.42,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'sal', 'pebre', 'herbes', 'gingebre', 'melassa', 'all', 'vinagre', 'llimona']","['porc', 'sal', 'pebre', 'herbes', 'gingebre', 'melassa', 'all', 'vinagre', 'llimona']"
Costelles de porc farcides de poma,informal,tebi,alta,mitjana,segon,forn_brasa,Europa Occidental,14.61,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'llimona', 'mel', 'sal', 'poma', 'espècies']","['porc', 'llimona', 'mel', 'sal', 'poma', 'espècies']"
Costelles de porc marcades a la paella,informal,calent,mitjana,mitjana,segon,forn_brasa,Internacional,17.3,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['costelles de porc', 'espècies', 'vinagre', 'oli']","['costelles de porc', 'espècies', 'vinagre', 'oli']"
Costelles de vedella guisades al vi,formal,tebi,alta,gran,segon,guisat,França,16.25,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['costelles de vedella', 'oli', 'ceba', 'api', 'pastanaga', 'all', 'farina', 'tomaquet concentrat', 'vi', 'brou', 'herbes', 'sal', 'pebre']","['costelles de vedella', 'oli', 'ceba', 'api', 'pastanaga', 'all', 'farina', 'tomaquet concentrat', 'vi', 'brou', 'herbes', 'sal', 'pebre']"
Costelles de xai amb mostassa i mel,informal,calent,alta,gran,segon,forn_brasa,Àsia Oriental,10.81,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salsa de soja', 'oli', 'oli de sèsam', 'romaní', 'mostassa', 'mel', 'xai']","['salsa de soja', 'oli', 'oli de sèsam', 'romaní', 'mostassa', 'mel', 'xai']"
Costelles estofades a la cassola,informal,tebi,alta,gran,segon,guisat,Europa Occidental,13.71,['totes'],['estiu'],"['costelles', 'sal', 'pebre', 'grassa de bacó', 'brou', 'vi', 'tomàquet concentrat', 'romaní', 'farigola', 'ceba', 'all', 'pastanaga', 'patata', 'oli', 'farina']","['costelles', 'sal', 'pebre', 'grassa de bacó', 'brou', 'vi', 'tomàquet concentrat', 'romaní', 'farigola', 'ceba', 'all', 'pastanaga', 'patata', 'oli', 'farina']"
Costelles estofades amb vi i herbes,informal,tebi,mitjana,mitjana,segon,guisat,Europa Occidental,10.57,['totes'],['estiu'],"['costelles', 'sal', 'pebre', 'worcestershire', 'vi', 'tomàquet concentrat', 'ceba', 'paprika', 'patata', 'oli', 'brou', 'romaní']","['costelles', 'sal', 'pebre', 'worcestershire', 'vi', 'tomàquet concentrat', 'ceba', 'paprika', 'patata', 'oli', 'brou', 'romaní']"
Costelles mexicanes amb chili i tequila,informal,tebi,alta,gran,segon,forn_brasa,Mèxic,14.26,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'sucre morè', 'habanero', 'ancho', 'orenga', 'sal', 'pebre', 'chili', 'melassa', 'tequila']","['porc', 'sucre morè', 'habanero', 'ancho', 'orenga', 'sal', 'pebre', 'chili', 'melassa', 'tequila']"
Costelles prime rib a la barbacoa,informal,calent,alta,gran,segon,forn_brasa,Estats Units,21.4,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'espècies', 'oli', 'fusta de mesquite']","['vedella', 'espècies', 'oli', 'fusta de mesquite']"
Costelles teriyaki amb mel,formal,tebi,alta,gran,segon,forn_brasa,Japó,14.13,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'salsa', 'mirin', 'mel', 'vinagre', 'melmelada']","['porc', 'salsa', 'mirin', 'mel', 'vinagre', 'melmelada']"
Croque Monsieur clàssic gratinat,formal,tebi,mitjana,mitjana,segon,forn_brasa,França,11.58,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'farina', 'llet', 'mostassa', 'sal', 'pebre', 'pa', 'ou']","['mantega', 'farina', 'llet', 'mostassa', 'sal', 'pebre', 'pa', 'ou']"
Croquetes de carn casolanes,informal,calent,mitjana,petita,segon,carn,Portugal,9.93,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'pa ratllat', 'ou', 'farina', 'herbes']","['vedella', 'pa ratllat', 'ou', 'farina', 'herbes']"
Croquetes de patata especiades,informal,calent,mitjana,mitjana,segon,farinaci_principal,Nigèria,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'sal', 'oli', 'ceba', 'all', 'gingebre', 'xili', 'canyella']","['patata', 'sal', 'oli', 'ceba', 'all', 'gingebre', 'xili', 'canyella']"
Croquetes de vedella meloses,formal,tebi,alta,petita,segon,carn,Espanya,14.07,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'brou', 'ceba', 'farina', 'ou', 'pa ratllat', 'oli']","['vedella', 'brou', 'ceba', 'farina', 'ou', 'pa ratllat', 'oli']"
Empanada tradicional de carn,formal,tebi,alta,mitjana,segon,carn,Espanya,13.81,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['sal', 'aigua', 'llevat', 'farina', 'ou', 'greix', 'maizena', 'carn', 'ceba', 'all', 'espècies', 'herbes', 'patata', 'raïm sec', 'olives']","['sal', 'aigua', 'llevat', 'farina', 'ou', 'greix', 'maizena', 'carn', 'ceba', 'all', 'espècies', 'herbes', 'patata', 'raïm sec', 'olives']"
Enchilada de formatge al forn,informal,tebi,mitjana,gran,segon,farinaci_principal,Mèxic,8.55,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'xili en pols', 'oli', 'aigua', 'cheddar', 'ceba', 'tortilla']","['farina', 'xili en pols', 'oli', 'aigua', 'cheddar', 'ceba', 'tortilla']"
Enchiladas de vedella amb chipotle,informal,tebi,alta,mitjana,segon,carn,Mèxic,13.91,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'oli', 'sal', 'pebre', 'comí', 'chipotle', 'ketchup', 'formatge']","['vedella', 'oli', 'sal', 'pebre', 'comí', 'chipotle', 'ketchup', 'formatge']"
Entrecot a la brasa amb rub d'espècies,formal,tebi,alta,gran,segon,forn_brasa,Estats Units,12.54,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bistec', 'espècies', 'mostassa', 'worcestershire']","['bistec', 'espècies', 'mostassa', 'worcestershire']"
Entrecot al grill amb herbes,informal,tebi,alta,gran,segon,forn_brasa,Europa Occidental,21.08,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'romaní', 'farigola', 'paprika', 'xili', 'all', ""oli d'oliva""]","['vedella', 'sal', 'pebre', 'romaní', 'farigola', 'paprika', 'xili', 'all', ""oli d'oliva""]"
Entrecot a la planxa amb mantega al Cabernet,formal,tebi,alta,gran,segon,forn_brasa,Estats Units,24.48,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'oli', 'mantega', 'vi negre', 'ceba']","['vedella', 'sal', 'pebre', 'oli', 'mantega', 'vi negre', 'ceba']"
Entrecot al forn,formal,calent,alta,gran,segon,forn_brasa,Europa Occidental,19.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'oli']","['vedella', 'sal', 'pebre', 'oli']"
Entrepans de porc desfilat,informal,fred,alta,gran,segon,carn,Estats Units,12.35,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'sal', 'mel', 'porc', 'paprika', 'pebre', 'marmelada', 'romaní', 'sucre morè', 'pa']","['aigua', 'sal', 'mel', 'porc', 'paprika', 'pebre', 'marmelada', 'romaní', 'sucre morè', 'pa']"
Entrepà de formatge a la planxa,informal,tebi,baixa,petita,segon,forn_brasa,Estats Units,6.83,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pa', 'mantega']","['pa', 'mantega']"
Entrepà de formatge fos,informal,tebi,mitjana,petita,segon,forn_brasa,Europa Occidental,7.17,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pan motllo', 'formatge', 'mantega']","['pan motllo', 'formatge', 'mantega']"
Entrepà de peix cruixent amb maionesa,informal,tebi,alta,mitjana,segon,peix,Estats Units,13.08,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'sal', 'pebre', 'all', 'xili', 'blat de moro', 'llimona', 'oli', 'pa', 'maionesa', 'pebrot', 'enciams']","['peix', 'sal', 'pebre', 'all', 'xili', 'blat de moro', 'llimona', 'oli', 'pa', 'maionesa', 'pebrot', 'enciams']"
Entrepà de verdures a la graella,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Internacional,7.09,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['verdures', 'oli', 'orenga']","['verdures', 'oli', 'orenga']"
Espaguetis aglio e olio,informal,tebi,mitjana,petita,segon,farinaci_principal,Itàlia,8.54,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['espaguetis', 'all', ""oli d'oliva"", 'pebre negre', 'julivert']","['espaguetis', 'all', ""oli d'oliva"", 'pebre negre', 'julivert']"
